idx	x	y	expected	expected_kind	expected_norm	ocr_norm	score	ok	reason	best_conf	best_dist_px	region_tokens_total	region_tokens_confident	region_max_similarity	region_ocr_calls
0	30	153	D0_PAD	label	D0_PAD	D0	1.000	1	matched	0.0	0.0	0	0		0
1	3182	168	OUT0	label	OUT0	OU	0.667	1	matched	0.0	34.6	0	0		0
2	3182	326	OUT1	label	OUT1	OUT1	1.000	1	matched	9.0	0.0	0	0		0
3	30	391	D1_PAD	label	D1_PAD	D1	1.000	1	matched	0.0	0.0	0	0		0
4	3182	484	OUT2	label	OUT2	OUT2	1.000	1	matched	67.5	0.0	0	0		0
5	30	629	D2_PAD	label	D2_PAD	D2	1.000	1	matched	0.0	0.0	0	0		0
6	3182	642	OUT3	label	OUT3	OUT3	1.000	1	matched	83.1	0.0	0	0		0
7	30	867	D3_PAD	label	D3_PAD	D3	1.000	1	matched	0.0	0.0	0	0		0
8	40	2114	CLK1	label	CLK1	CLK1	1.000	1	matched	52.7	0.0	0	0		0
9	40	2194	CLK2	label	CLK2	C_K2M&	0.600	1	matched	0.0	15.9	0	0		0
10	40	2274	SYNC	label	SYNC	SYNC	1.000	1	matched	18.3	0.0	0	0		0
11	400	2383	CS	label	CS	CSO	1.000	1	matched	0.0	0.0	0	0		0
12	1072	2423	CM	label	CM	CM	1.000	1	matched	28.7	0.0	0	0		0
13	2747	2594	RESET	label	RESET	RESET	1.000	1	matched	90.8	0.0	0	0		0
