idx	x	y	expected	expected_kind	expected_norm	ocr_norm	score	ok	reason	best_conf	best_dist_px	region_tokens_total	region_tokens_confident	region_max_similarity	region_ocr_calls
0	30	190	D0_PAD	label	D0_PAD	D0	1.000	1	matched	0.0	0.0	0	0		0
1	30	327	IO0	label	IO0	I	0.500	0	mismatch	0.0	28.0	0	0		0
2	30	371	D1_PAD	label	D1_PAD	D1	1.000	1	matched	0.0	0.0	0	0		0
3	30	508	IO1	label	IO1	10I1	0.571	0	mismatch	0.0	11.3	0	0		0
4	30	552	D2_PAD	label	D2_PAD	D2	1.000	1	matched	0.0	0.0	0	0		0
5	30	689	IO2	label	IO2	I7JI2E	0.444	0	mismatch	0.0	17.7	0	0		0
6	30	733	D3_PAD	label	D3_PAD	D3	1.000	1	matched	0.0	0.0	0	0		0
7	30	870	IO3	label	IO3	3-	0.400	0	mismatch	0.0	22.5	0	0		0
8	30	907	CL	label	CL	CL	1.000	1	matched	92.4	0.0	0	0		0
9	30	989	RESET	label	RESET	RESET	1.000	1	matched	90.3	0.0	0	0		0
10	30	1073	CM	label	CM	CM	1.000	1	matched	84.0	0.0	0	0		0
11	30	1155	CLK1	label	CLK1	CLK1	1.000	1	matched	83.2	0.0	0	0		0
12	30	1233	CLK2	label	CLK2	CLK2	1.000	1	matched	0.0	6.7	0	0		0
13	30	1316	SYNC	label	SYNC	SYNC	1.000	1	matched	21.3	0.0	0	0		0
